Attributes,Close,High,Low,Open,Volume
Symbols,^SPX,^SPX,^SPX,^SPX,^SPX
Date,,,,,
2002-07-15,917.93,921.39,876.46,921.39,1430444444
2002-07-12,921.39,934.31,913.71,927.37,893000000
2002-07-11,927.37,929.16,900.94,920.47,1155822222
2002-07-10,920.47,956.34,920.29,952.83,1009388889
2002-07-09,952.83,979.63,951.71,976.98,749388889
2002-07-08,976.98,993.56,972.91,989.03,658000000
2002-07-05,989.03,989.07,953.99,953.99,388555556
2002-07-03,953.99,954.3,934.87,948.09,848777778
2002-07-02,948.09,968.65,945.54,968.65,1012777778
2002-07-01,968.65,994.46,967.43,989.82,791944444
2002-06-28,989.82,1001.79,988.31,990.64,1176111111
2002-06-27,990.64,990.67,963.74,973.53,1060333333
2002-06-26,973.53,977.43,952.92,976.14,1119050000
2002-06-25,976.14,1005.88,974.21,992.72,840944444
2002-06-24,992.72,1002.11,970.85,989.14,862555556
2002-06-21,989.14,1006.29,985.65,1006.29,831777778
2002-06-20,1006.29,1023.33,1004.59,1019.99,772055556
2002-06-19,1019.99,1037.61,1017.88,1037.14,742277778
2002-06-18,1037.14,1040.83,1030.92,1036.17,662833333
2002-06-17,1036.17,1036.17,1007.27,1007.27,687000000
2002-06-14,1007.27,1009.56,981.63,1009.56,860555556
2002-06-13,1009.56,1023.47,1008.12,1020.26,780833333
2002-06-12,1020.26,1021.85,1002.58,1013.26,997622222
2002-06-11,1013.6,1039.04,1012.94,1030.74,673555556
2002-06-10,1030.74,1038.18,1025.45,1027.53,681222222
2002-06-07,1027.53,1033.02,1012.49,1029.15,745166667
2002-06-06,1029.15,1049.9,1026.91,1049.9,889722222
2002-06-05,1049.9,1050.11,1038.84,1040.69,722277778
2002-06-04,1040.69,1046.06,1030.52,1040.68,814777778
2002-06-03,1040.68,1070.74,1039.9,1067.14,735722222
2002-05-31,1067.14,1079.93,1064.66,1064.66,709611111
2002-05-30,1064.66,1069.5,1054.26,1067.66,714777778
2002-05-29,1067.66,1074.83,1067.66,1074.55,601000000
2002-05-28,1074.55,1085.98,1070.31,1083.82,553611111
2002-05-24,1083.82,1097.08,1082.19,1097.08,491888889
2002-05-23,1097.08,1097.1,1080.55,1086.02,662722222
2002-05-22,1086.02,1086.02,1075.64,1079.88,631277778
2002-05-21,1079.88,1099.55,1079.08,1091.88,666944444
