Attributes,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,^SPX,^DJI,^NDX,^SPX,^DJI,^NDX,^SPX,^DJI,^NDX,^SPX,^DJI,^NDX,^SPX,^DJI,^NDX
Date,,,,,,,,,,,,,,,
1987-10-23,248.22,1950.8,145.42,250.7,1993.9,149.99,242.76,1898.5,145.04,248.29,1950.4,149.99,136444444,34139658,61034483
1987-10-22,248.25,1950.4,149.99,258.38,2005.0,158.78,242.99,1837.9,149.19,258.24,2005.0,158.78,217888889,54267124,86137931
1987-10-21,258.38,2027.9,158.78,259.27,2081.1,160.27,236.83,1951.8,143.96,236.83,1951.8,143.96,249777778,62970496,99344828
1987-10-20,236.83,1841.0,143.96,245.62,2067.5,156.76,216.46,1616.2,142.38,225.06,1738.7,155.65,337833333,91249693,97965517
1987-10-19,224.84,1738.7,155.65,282.7,2164.2,183.3,224.83,1677.6,155.62,282.7,2164.2,183.29,335722222,87231530,76862069
1987-10-16,282.7,2246.7,183.29,298.92,2396.2,193.54,281.52,2207.7,182.96,298.08,2355.1,193.07,188055556,57266222,67551724
1987-10-15,298.08,2355.1,193.07,305.23,2439.8,197.49,298.07,2345.6,192.85,305.21,2412.7,197.49,146222222,38068493,55103448
1987-10-14,305.23,2412.7,197.49,314.52,2485.2,201.24,304.78,2400.5,196.39,314.52,2485.2,201.23,115222222,29733743,50206897
1987-10-13,314.52,2508.2,201.23,314.53,2528.4,202.05,309.39,2456.9,199.01,309.39,2471.4,199.62,96055556,24881353,45448276
1987-10-12,309.39,2471.4,199.62,311.07,2504.9,202.46,306.76,2433.9,197.85,311.07,2482.2,202.46,78833333,19840868,40620690
1987-10-09,311.07,2482.2,202.46,315.04,2531.7,205.12,310.97,2472.3,202.14,314.16,2516.6,203.62,87944444,20738512,50103448
1987-10-08,314.16,2516.6,203.62,319.34,2561.4,207.62,312.02,2491.5,202.49,318.54,2551.1,206.89,110388889,21958389,54413793
1987-10-07,318.54,2551.1,206.89,319.39,2571.0,208.07,315.78,2511.8,205.09,319.22,2548.6,208.07,103500000,25855639,52413793
1987-10-06,319.22,2548.6,208.07,328.08,2632.8,214.03,319.17,2542.6,208.07,328.08,2632.8,213.81,97555556,24376774,54655172
1987-10-05,328.08,2640.2,213.81,328.57,2658.8,213.83,326.09,2611.0,211.41,328.07,2641.0,212.15,88722222,18993060,50241379
1987-10-02,328.07,2641.0,212.15,328.94,2662.4,212.23,327.22,2622.1,209.71,327.33,2639.2,209.71,105055556,17755523,56310345
1987-10-01,327.33,2639.2,209.71,327.34,2649.0,209.73,321.83,2593.2,205.51,321.83,2596.3,205.51,107333333,22191665,56827586
1987-09-30,321.83,2596.3,205.51,322.53,2613.6,205.7,320.16,2563.6,203.68,321.69,2590.6,204.15,101722222,23360761,56034483
1987-09-29,321.69,2590.6,204.15,324.63,2627.6,205.12,320.27,2569.0,203.76,323.2,2601.5,204.62,96388889,20658808,53482759
