Date,VZ.US
1987-03-06,5.35167
1987-03-09,5.28689
1987-03-10,5.29261
1987-03-11,5.28689
1987-03-12,5.29261
1987-03-13,5.29261
1987-03-16,5.27494
1987-03-17,5.28689
1987-03-18,5.20995
1987-03-19,5.23948
1987-03-20,5.27494
1987-03-23,5.32204
1987-03-24,5.35167
1987-03-25,5.32826
1987-03-26,5.31019
1987-03-27,5.24531
1987-03-30,5.10942
1987-03-31,5.12137
1987-04-01,5.03209
1987-04-02,5.04434
1987-04-03,5.21558
1987-04-06,5.15672
1987-04-07,5.00296
1987-04-08,5.03209
1987-04-09,4.90805
1987-04-10,4.90805
1987-04-13,4.80761
1987-04-14,4.74866
1987-04-15,4.79004
1987-04-16,4.85492
1987-04-20,4.93778
1987-04-21,5.03209
1987-04-22,4.82569
1987-04-23,4.89028
1987-04-24,4.81364
1987-04-27,4.93195
1987-04-28,4.88474
1987-04-29,4.88474
1987-04-30,5.00296
1987-05-01,5.01481
1987-05-04,5.05016
1987-05-05,5.09154
1987-05-06,5.01481
1987-05-07,4.97926
1987-05-08,4.92
1987-05-11,4.8726
1987-05-12,4.93195
1987-05-13,4.90805
1987-05-14,4.93778
1987-05-15,4.89028
1987-05-18,4.90252
1987-05-19,4.81364
1987-05-20,4.7133
1987-05-21,4.6659
1987-05-22,4.77828
1987-05-26,4.8726
1987-05-27,4.9675
1987-05-28,4.98508
1987-05-29,5.06221
1987-06-01,5.09154
1987-06-02,5.06221
1987-06-03,5.13905
1987-06-04,5.13905
1987-06-05,5.14467
1987-06-08,5.16847
1987-06-09,5.09747
1987-06-10,5.127
1987-06-11,5.14467
1987-06-12,5.23356
1987-06-15,5.29854
1987-06-16,5.37517
1987-06-17,5.34041
1987-06-18,5.32826
1987-06-19,5.4053
1987-06-22,5.45823
1987-06-23,5.41073
1987-06-24,5.35167
1987-06-25,5.39315
1987-06-26,5.35167
1987-06-29,5.35167
1987-06-30,5.23948
1987-07-01,5.24531
1987-07-02,5.25716
1987-07-06,5.22753
1987-07-07,5.26328
1987-07-08,5.20995
1987-07-09,5.1508
1987-07-10,5.18013
1987-07-13,5.08572
1987-07-14,5.12137
1987-07-15,5.03209
1987-07-16,5.07367
1987-07-17,5.12137
1987-07-20,5.09154
1987-07-21,5.03209
1987-07-22,5.00888
1987-07-23,4.98508
1987-07-24,5.03209
1987-07-27,5.10349
1987-07-28,5.13282
1987-07-29,5.18625
1987-07-30,5.23948
1987-07-31,5.24531
1987-08-03,5.23948
1987-08-04,5.18013
1987-08-05,5.30456
1987-08-06,5.31602
1987-08-07,5.45823
1987-08-10,5.60014
1987-08-11,5.77771
1987-08-12,5.70078
1987-08-13,5.71846
1987-08-14,5.71846
1987-08-17,5.80141
1987-08-18,5.76586
1987-08-19,5.75401
1987-08-20,5.83074
1987-08-21,5.87212
1987-08-24,5.8425
1987-08-25,5.91933
1987-08-26,5.90165
1987-08-27,5.79549
1987-08-28,5.67115
1987-08-31,5.80141
1987-09-01,5.68893
1987-09-02,5.64745
1987-09-03,5.60014
1987-09-04,5.67115
1987-09-08,5.6118
1987-09-09,5.67698
1987-09-10,5.64745
1987-09-11,5.70078
1987-09-14,5.75401
1987-09-15,5.72428
1987-09-16,5.73603
1987-09-17,5.77771
1987-09-18,5.73603
1987-09-21,5.75401
1987-09-22,5.97888
1987-09-23,6.08504
1987-09-24,5.99073
1987-09-25,6.15032
1987-09-28,6.07902
1987-09-29,6.01996
