Date,PFE.US
1987-11-09,1.02659
1987-11-10,0.98014
1987-11-11,0.98014
1987-11-12,1.03299
1987-11-13,1.03299
1987-11-16,1.05298
1987-11-17,1.02659
1987-11-18,1.03988
1987-11-19,1.00012
1987-11-20,1.03299
1987-11-23,1.02659
1987-11-24,1.00012
1987-11-25,0.993918
1987-11-27,0.974037
1987-11-30,0.927875
1987-12-01,0.941064
1987-12-02,0.941064
1987-12-03,0.908287
1987-12-04,0.894803
1987-12-07,0.927875
1987-12-08,0.894803
1987-12-09,0.888504
1987-12-10,0.842341
1987-12-11,0.835747
1987-12-14,0.835747
1987-12-15,0.835747
1987-12-16,0.894803
1987-12-17,0.894803
1987-12-18,0.908287
1987-12-21,0.934371
1987-12-22,1.00012
1987-12-23,1.03299
1987-12-24,1.02001
1987-12-28,0.960848
1987-12-29,0.974037
1987-12-30,0.960848
1987-12-31,0.934371
1988-01-04,0.974037
1988-01-05,1.05298
1988-01-06,1.07247
1988-01-07,1.07247
1988-01-08,1.00682
1988-01-11,1.0136
1988-01-12,1.00012
1988-01-13,1.00012
1988-01-14,1.02001
1988-01-15,1.0136
1988-01-18,1.03988
1988-01-19,1.06617
1988-01-20,1.02659
1988-01-21,1.02001
1988-01-22,1.03299
1988-01-25,1.05298
1988-01-26,1.05298
1988-01-27,1.03299
1988-01-28,1.05957
1988-01-29,1.09274
1988-02-01,1.07916
1988-02-02,1.07247
1988-02-03,1.03988
1988-02-04,1.03988
1988-02-05,1.0136
1988-02-08,1.03299
1988-02-09,1.05298
1988-02-10,1.05957
1988-02-11,1.05298
1988-02-12,1.05957
1988-02-16,1.05957
1988-02-17,1.04628
1988-02-18,1.04628
1988-02-19,1.05298
1988-02-22,1.09274
1988-02-23,1.09274
1988-02-24,1.10553
1988-02-25,1.07247
1988-02-26,1.07247
1988-02-29,1.09914
1988-03-01,1.09274
1988-03-02,1.11873
1988-03-03,1.1451
1988-03-04,1.11873
1988-03-07,1.11873
1988-03-08,1.11213
1988-03-09,1.10553
1988-03-10,1.10553
1988-03-11,1.10553
1988-03-14,1.11873
1988-03-15,1.09914
1988-03-16,1.08585
1988-03-17,1.11873
1988-03-18,1.11873
1988-03-21,1.10553
1988-03-22,1.10553
1988-03-23,1.11213
1988-03-24,1.10553
1988-03-25,1.13172
1988-03-28,1.11213
1988-03-29,1.13172
1988-03-30,1.12522
1988-03-31,1.11873
1988-04-04,1.10553
1988-04-05,1.12522
1988-04-06,1.1517
1988-04-07,1.1517
1988-04-08,1.16459
1988-04-11,1.15809
1988-04-12,1.1517
1988-04-13,1.21754
1988-04-14,1.1517
1988-04-15,1.19777
1988-04-18,1.17788
1988-04-19,1.1517
1988-04-20,1.12522
1988-04-21,1.10553
1988-04-22,1.11873
1988-04-25,1.13861
1988-04-26,1.15809
1988-04-27,1.1451
1988-04-28,1.13861
1988-04-29,1.11213
1988-05-02,1.11873
1988-05-03,1.13172
1988-05-04,1.10553
1988-05-05,1.09274
1988-05-06,1.06617
1988-05-09,1.05957
1988-05-10,1.06617
1988-05-11,1.03988
1988-05-12,1.02001
1988-05-13,1.02659
1988-05-16,1.05957
1988-05-17,1.02659
1988-05-18,1.0136
1988-05-19,1.00012
1988-05-20,1.02001
1988-05-23,0.993918
1988-05-24,1.0136
1988-05-25,1.02001
1988-05-26,1.03988
1988-05-27,1.03299
1988-05-31,1.06617
1988-06-01,1.09274
1988-06-02,1.07916
1988-06-03,1.06617
1988-06-06,1.07247
