Date,MRK.US
1987-04-06,4.60452
1987-04-07,4.44879
1987-04-08,4.53003
1987-04-09,4.48916
1987-04-10,4.52308
1987-04-13,4.44879
1987-04-14,4.40148
1987-04-15,4.33373
1987-04-16,4.26609
1987-04-20,4.23226
1987-04-21,4.3134
1987-04-22,4.22532
1987-04-23,4.23226
1987-04-24,4.12345
1987-04-27,4.07644
1987-04-28,4.08983
1987-04-29,4.0563
1987-04-30,4.09677
1987-05-01,4.09677
1987-05-04,4.15757
1987-05-05,4.34058
1987-05-06,4.24565
1987-05-07,4.25894
1987-05-08,4.25279
1987-05-11,4.21183
1987-05-12,4.27283
1987-05-13,4.25279
1987-05-14,4.24565
1987-05-15,4.17116
1987-05-18,4.14408
1987-05-19,4.09677
1987-05-20,4.13724
1987-05-21,4.1914
1987-05-22,4.25279
1987-05-26,4.23901
1987-05-27,4.29326
1987-05-28,4.38789
1987-05-29,4.40148
1987-06-01,4.34742
1987-06-02,4.30675
1987-06-03,4.44195
1987-06-04,4.46952
1987-06-05,4.48271
1987-06-08,4.53697
1987-06-09,4.5573
1987-06-10,4.61801
1987-06-11,4.59113
1987-06-12,4.59113
1987-06-15,4.62485
1987-06-16,4.61116
1987-06-17,4.57069
1987-06-18,4.53003
1987-06-19,4.62485
1987-06-22,4.71293
1987-06-23,4.7537
1987-06-24,4.74001
1987-06-25,4.78067
1987-06-26,4.79426
1987-06-29,4.80765
1987-06-30,4.7537
1987-07-01,4.84822
1987-07-02,4.94979
1987-07-06,4.8752
1987-07-07,4.89593
1987-07-08,4.94334
1987-07-09,4.94334
1987-07-10,4.90942
1987-07-13,4.86856
1987-07-14,5.00415
1987-07-15,5.00415
1987-07-16,5.10532
1987-07-17,5.10532
1987-07-20,5.07854
1987-07-21,5.01773
1987-07-22,5.03122
1987-07-23,5.01773
1987-07-24,5.01773
1987-07-27,5.14608
1987-07-28,5.24805
1987-07-29,5.26828
1987-07-30,5.29516
1987-07-31,5.27493
1987-08-03,5.24091
1987-08-04,5.1936
1987-08-05,5.1936
1987-08-06,5.26134
1987-08-07,5.34287
1987-08-10,5.48471
1987-08-11,5.53887
1987-08-12,5.53203
1987-08-13,5.70134
1987-08-14,5.70134
1987-08-17,5.79646
1987-08-18,5.68815
1987-08-19,5.73546
1987-08-20,5.78952
1987-08-21,5.77603
1987-08-24,5.72881
1987-08-25,5.79646
1987-08-26,5.78952
1987-08-27,5.74221
1987-08-28,5.64768
1987-08-31,5.72197
1987-09-01,5.74875
1987-09-02,5.87055
1987-09-03,6.08738
1987-09-04,5.97222
1987-09-08,5.9386
1987-09-09,5.96568
1987-09-10,5.94544
1987-09-11,5.9386
1987-09-14,5.9386
1987-09-15,5.90468
1987-09-16,5.77603
1987-09-17,5.64768
1987-09-18,5.65393
1987-09-21,5.5593
1987-09-22,5.70838
1987-09-23,5.73546
1987-09-24,5.59997
1987-09-25,5.59322
1987-09-28,5.73546
1987-09-29,5.76909
1987-09-30,5.78952
1987-10-01,5.85052
1987-10-02,5.83693
1987-10-05,5.82334
1987-10-06,5.62715
1987-10-07,5.69469
1987-10-08,5.63409
1987-10-09,5.59997
1987-10-12,5.47807
1987-10-13,5.5593
1987-10-14,5.35607
1987-10-15,5.32928
1987-10-16,5.15313
1987-10-19,4.48271
1987-10-20,4.42191
1987-10-21,4.73326
1987-10-22,4.57069
1987-10-23,4.56395
1987-10-26,4.34058
1987-10-27,4.52308
1987-10-28,4.56395
1987-10-29,5.01109
1987-10-30,5.07854
1987-11-02,5.05156
1987-11-03,4.91626
1987-11-04,4.9364
1987-11-05,5.12585
1987-11-06,5.01109
1987-11-09,4.84822
1987-11-10,4.86856
1987-11-11,4.94334
1987-11-12,5.03787
1987-11-13,4.90942
1987-11-16,4.89593
1987-11-17,4.76699
1987-11-18,4.78742
1987-11-19,4.76699
1987-11-20,4.82789
1987-11-23,4.85507
