Date,MMM.US
1987-10-14,8.72038
1987-10-15,8.77163
1987-10-16,8.45275
1987-10-19,6.74022
1987-10-20,6.97873
1987-10-21,7.39765
1987-10-22,7.28212
1987-10-23,7.18804
1987-10-26,6.49435
1987-10-27,6.67544
1987-10-28,6.74022
1987-10-29,6.87035
1987-10-30,7.10152
1987-11-02,7.21715
1987-11-03,7.38315
1987-11-04,7.23156
1987-11-05,7.39765
1987-11-06,7.21715
1987-11-09,6.94953
1987-11-10,6.76912
1987-11-11,6.78382
1987-11-12,7.28212
1987-11-13,7.35435
1987-11-16,7.63539
1987-11-17,7.4983
1987-11-18,7.74377
1987-11-19,7.45577
1987-11-20,7.75769
1987-11-23,7.70143
1987-11-24,7.78747
1987-11-25,7.60658
1987-11-27,7.39765
1987-11-30,7.06536
1987-12-01,7.09427
1987-12-02,7.12318
1987-12-03,6.83429
1987-12-04,6.8486
1987-12-07,7.09427
1987-12-08,7.15179
1987-12-09,7.31799
1987-12-10,7.181
1987-12-11,7.38315
1987-12-14,7.63539
1987-12-15,7.68674
1987-12-16,7.80227
1987-12-17,7.48379
1987-12-18,7.80227
1987-12-21,7.86646
1987-12-22,7.78747
1987-12-23,8.01815
1987-12-24,7.89556
1987-12-28,7.62088
1987-12-29,7.62088
1987-12-30,7.73073
1987-12-31,7.80227
1988-01-04,8.01815
1988-01-05,7.95386
1988-01-06,8.00394
1988-01-07,7.98386
1988-01-08,7.1954
1988-01-11,7.62088
1988-01-12,7.45577
1988-01-13,7.36179
1988-01-14,7.34689
1988-01-15,7.59394
1988-01-18,7.48379
1988-01-19,7.27467
1988-01-20,6.91347
1988-01-21,6.8486
1988-01-22,6.91347
1988-01-25,7.02939
1988-01-26,6.8633
1988-01-27,7.02939
1988-01-28,7.12318
1988-01-29,7.33249
1988-02-01,7.24586
1988-02-02,7.15179
1988-02-03,6.94247
1988-02-04,6.83429
1988-02-05,6.79068
1988-02-08,6.72591
1988-02-09,6.89171
1988-02-10,6.97148
1988-02-11,7.04351
1988-02-12,7.10848
1988-02-16,7.26066
1988-02-17,7.23156
1988-02-18,7.10848
1988-02-19,7.06536
1988-02-22,7.20246
1988-02-23,7.26772
1988-02-24,7.21715
1988-02-25,7.00755
1988-02-26,7.06536
1988-02-29,7.21715
1988-03-01,7.31123
1988-03-02,7.24586
1988-03-03,7.18804
1988-03-04,7.07976
1988-03-07,7.18804
1988-03-08,7.14464
1988-03-09,7.14464
1988-03-10,7.05076
1988-03-11,7.23156
1988-03-14,7.47674
1988-03-15,7.62794
1988-03-16,7.72309
1988-03-17,7.88822
1988-03-18,7.83187
1988-03-21,7.69399
1988-03-22,7.69399
1988-03-23,7.58649
1988-03-24,7.36845
1988-03-25,7.07976
1988-03-28,7.20246
1988-03-29,7.18804
1988-03-30,7.05076
1988-03-31,7.03645
1988-04-04,6.94247
1988-04-05,7.03645
1988-04-06,7.44851
1988-04-07,7.41971
1988-04-08,7.46292
1988-04-11,7.62794
1988-04-12,7.64244
1988-04-13,7.58649
1988-04-14,7.12318
1988-04-15,7.20246
1988-04-18,7.10848
1988-04-19,7.15924
1988-04-20,7.20246
1988-04-21,7.28212
1988-04-22,7.34003
1988-04-25,7.43343
1988-04-26,7.40461
1988-04-27,7.35435
1988-04-28,7.29653
1988-04-29,7.23156
1988-05-02,7.21715
1988-05-03,7.28212
1988-05-04,7.20246
1988-05-05,7.18804
1988-05-06,7.07976
1988-05-09,7.14464
1988-05-10,7.18804
1988-05-11,7.12318
1988-05-12,7.06536
1988-05-13,7.20246
1988-05-16,7.40461
1988-05-17,7.34689
1988-05-18,7.18804
1988-05-19,7.2242
1988-05-20,7.13052
1988-05-23,7.10152
1988-05-24,7.2242
1988-05-25,7.28212
1988-05-26,7.29653
1988-05-27,7.33249
1988-05-31,7.62088
1988-06-01,7.73073
1988-06-02,7.71673
1988-06-03,7.75769
1988-06-06,7.83931
1988-06-07,7.65803
1988-06-08,7.90222
1988-06-09,7.71673
1988-06-10,7.83931
1988-06-13,7.79483
1988-06-14,7.96132
1988-06-15,7.96132
1988-06-16,7.79483
1988-06-17,7.86646
1988-06-20,7.71673
1988-06-21,7.83931
1988-06-22,8.02589
1988-06-23,8.16407
1988-06-24,8.06872
1988-06-27,7.9471
1988-06-28,8.14868
1988-06-29,8.09988
1988-06-30,8.14868
1988-07-01,8.11957
1988-07-05,8.2062
1988-07-06,8.05578
1988-07-07,7.99718
1988-07-08,7.88822
1988-07-11,7.90222
1988-07-12,7.83931
1988-07-13,7.88822
1988-07-14,7.96132
1988-07-15,7.90222
1988-07-18,7.83931
1988-07-19,7.71673
1988-07-20,7.80962
1988-07-21,7.80962
1988-07-22,7.70143
1988-07-25,7.71673
1988-07-26,7.75769
1988-07-27,7.65803
1988-07-28,7.74377
1988-07-29,7.88822
1988-08-01,7.85392
1988-08-02,7.90222
1988-08-03,7.9471
1988-08-04,7.96132
1988-08-05,7.9471
1988-08-08,7.82422
1988-08-09,7.79483
