Date,JNJ.US
1987-08-12,3.5331
1987-08-13,3.5331
1987-08-14,3.51144
1987-08-17,3.56171
1987-08-18,3.56171
1987-08-19,3.56171
1987-08-20,3.64786
1987-08-21,3.65501
1987-08-24,3.61229
1987-08-25,3.66962
1987-08-26,3.6408
1987-08-27,3.56907
1987-08-28,3.49743
1987-08-31,3.49743
1987-09-01,3.37501
1987-09-02,3.38217
1987-09-03,3.35345
1987-09-04,3.33884
1987-09-08,3.31768
1987-09-09,3.29602
1987-09-10,3.32464
1987-09-11,3.36796
1987-09-14,3.38952
1987-09-15,3.3609
1987-09-16,3.22448
1987-09-17,3.24574
1987-09-18,3.25965
1987-09-21,3.14519
1987-09-22,3.25965
1987-09-23,3.32464
1987-09-24,3.31043
1987-09-25,3.28191
1987-09-28,3.35345
1987-09-29,3.31768
1987-09-30,3.35345
1987-10-01,3.41804
1987-10-02,3.47537
1987-10-05,3.46096
1987-10-06,3.32464
1987-10-07,3.28906
1987-10-08,3.23879
1987-10-09,3.18086
1987-10-12,3.1741
1987-10-13,3.18086
1987-10-14,3.03798
1987-10-15,2.95869
1987-10-16,2.77169
1987-10-19,2.26236
1987-10-20,2.51345
1987-10-21,2.60665
1987-10-22,2.54206
1987-10-23,2.57813
1987-10-26,2.37693
1987-10-27,2.49199
1987-10-28,2.58529
1987-10-29,2.77169
1987-10-30,2.80776
1987-11-02,2.8008
1987-11-03,2.72867
1987-11-04,2.72867
1987-11-05,2.7862
1987-11-06,2.67869
1987-11-09,2.56343
1987-11-10,2.53491
1987-11-11,2.57813
1987-11-12,2.68564
1987-11-13,2.7073
1987-11-16,2.75023
1987-11-17,2.71436
1987-11-18,2.75738
1987-11-19,2.6928
1987-11-20,2.74317
1987-11-23,2.77904
1987-11-24,2.80776
1987-11-25,2.76473
1987-11-27,2.68564
1987-11-30,2.57813
1987-12-01,2.62116
1987-12-02,2.67869
1987-12-03,2.53491
1987-12-04,2.49874
1987-12-07,2.62811
1987-12-08,2.72171
1987-12-09,2.72867
1987-12-10,2.66438
1987-12-11,2.68564
1987-12-14,2.79335
1987-12-15,2.77169
1987-12-16,2.81491
1987-12-17,2.73592
1987-12-18,2.7862
1987-12-21,2.8008
1987-12-22,2.75738
1987-12-23,2.8008
1987-12-24,2.8008
1987-12-28,2.71436
1987-12-29,2.69975
1987-12-30,2.7073
1987-12-31,2.64242
1988-01-04,2.75738
1988-01-05,2.77169
1988-01-06,2.75023
1988-01-07,2.73592
