Date,MSFT.US
1987-03-20,0.221125
1987-03-23,0.221125
1987-03-24,0.221125
1987-03-25,0.221125
1987-03-26,0.221125
1987-03-27,0.229037
1987-03-30,0.236928
1987-03-31,0.236928
1987-04-01,0.221125
1987-04-02,0.236928
1987-04-03,0.24487
1987-04-06,0.24487
1987-04-07,0.229037
1987-04-08,0.236928
1987-04-09,0.236928
1987-04-10,0.236928
1987-04-13,0.229037
1987-04-14,0.229037
1987-04-15,0.236928
1987-04-16,0.24487
1987-04-20,0.236928
1987-04-21,0.236928
1987-04-22,0.24487
1987-04-23,0.24487
1987-04-24,0.24487
1987-04-27,0.24487
1987-04-28,0.260583
1987-04-29,0.252681
1987-04-30,0.252681
1987-05-01,0.260583
1987-05-04,0.260583
1987-05-05,0.284298
1987-05-06,0.276486
1987-05-07,0.292219
1987-05-08,0.307853
1987-05-11,0.300021
1987-05-12,0.292219
1987-05-13,0.300021
1987-05-14,0.300021
1987-05-15,0.292219
1987-05-18,0.284298
1987-05-19,0.276486
1987-05-20,0.268415
1987-05-21,0.276486
1987-05-22,0.268415
1987-05-26,0.268415
1987-05-27,0.268415
1987-05-28,0.284298
1987-05-29,0.284298
1987-06-01,0.276486
1987-06-02,0.276486
1987-06-03,0.276486
1987-06-04,0.276486
1987-06-05,0.268415
1987-06-08,0.268415
1987-06-09,0.268415
1987-06-10,0.252681
1987-06-11,0.236928
1987-06-12,0.24487
1987-06-15,0.24487
1987-06-16,0.24487
1987-06-17,0.252681
1987-06-18,0.260583
1987-06-19,0.260583
1987-06-22,0.252681
1987-06-23,0.252681
1987-06-24,0.260583
1987-06-25,0.260583
1987-06-26,0.260583
1987-06-29,0.252681
1987-06-30,0.252681
1987-07-01,0.252681
1987-07-02,0.24487
1987-07-06,0.236928
1987-07-07,0.221125
1987-07-08,0.229037
1987-07-09,0.236928
1987-07-10,0.236928
1987-07-13,0.24487
1987-07-14,0.260583
1987-07-15,0.252681
1987-07-16,0.252681
1987-07-17,0.252681
1987-07-20,0.24487
1987-07-21,0.24487
1987-07-22,0.24487
1987-07-23,0.236928
1987-07-24,0.24487
1987-07-27,0.24487
1987-07-28,0.24487
1987-07-29,0.24487
1987-07-30,0.236928
1987-07-31,0.229037
1987-08-03,0.229037
1987-08-04,0.229037
1987-08-05,0.236928
1987-08-06,0.24487
1987-08-07,0.252681
1987-08-10,0.252681
1987-08-11,0.252681
1987-08-12,0.24487
1987-08-13,0.252681
1987-08-14,0.252681
1987-08-17,0.252681
1987-08-18,0.252681
1987-08-19,0.252681
1987-08-20,0.260583
1987-08-21,0.260583
1987-08-24,0.276486
1987-08-25,0.284298
1987-08-26,0.284298
1987-08-27,0.284298
1987-08-28,0.292219
1987-08-31,0.292219
1987-09-01,0.276486
1987-09-02,0.284298
1987-09-03,0.284298
1987-09-04,0.276486
1987-09-08,0.276486
1987-09-09,0.276486
1987-09-10,0.284298
1987-09-11,0.284298
