Date,HD.US
1988-02-10,0.530847
1988-02-11,0.5383
1988-02-12,0.530847
1988-02-16,0.5383
1988-02-17,0.530847
1988-02-18,0.5383
1988-02-19,0.54625
1988-02-22,0.561554
1988-02-23,0.561554
1988-02-24,0.569205
1988-02-25,0.576857
1988-02-26,0.553902
1988-02-29,0.584707
1988-03-01,0.569205
1988-03-02,0.584707
1988-03-03,0.615314
1988-03-04,0.600011
1988-03-07,0.59216
1988-03-08,0.59216
1988-03-09,0.600011
1988-03-10,0.59216
1988-03-11,0.600011
1988-03-14,0.607563
1988-03-15,0.615314
1988-03-16,0.615314
1988-03-17,0.615314
1988-03-18,0.630717
1988-03-21,0.607563
1988-03-22,0.622966
1988-03-23,0.638368
1988-03-24,0.600011
1988-03-25,0.615314
1988-03-28,0.584707
1988-03-29,0.600011
1988-03-30,0.59216
1988-03-31,0.600011
1988-04-04,0.59216
1988-04-05,0.600011
1988-04-06,0.638368
1988-04-07,0.622966
1988-04-08,0.646318
1988-04-11,0.669075
1988-04-12,0.653672
1988-04-13,0.661622
1988-04-14,0.638368
1988-04-15,0.607563
1988-04-18,0.615314
1988-04-19,0.638368
1988-04-20,0.638368
1988-04-21,0.661622
1988-04-22,0.669075
1988-04-25,0.661622
1988-04-26,0.661622
1988-04-27,0.669075
1988-04-28,0.669075
1988-04-29,0.653672
1988-05-02,0.661622
1988-05-03,0.669075
1988-05-04,0.661622
1988-05-05,0.638368
1988-05-06,0.646318
1988-05-09,0.638368
1988-05-10,0.653672
1988-05-11,0.638368
1988-05-12,0.638368
1988-05-13,0.646318
1988-05-16,0.646318
1988-05-17,0.661622
1988-05-18,0.630717
1988-05-19,0.630717
1988-05-20,0.630717
1988-05-23,0.615314
1988-05-24,0.607563
1988-05-25,0.600011
1988-05-26,0.600011
1988-05-27,0.584707
1988-05-31,0.630717
1988-06-01,0.646318
1988-06-02,0.638368
1988-06-03,0.638368
1988-06-06,0.638368
1988-06-07,0.646318
1988-06-08,0.669075
1988-06-09,0.669075
1988-06-10,0.700079
1988-06-13,0.71568
1988-06-14,0.738337
1988-06-15,0.738337
1988-06-16,0.707333
1988-06-17,0.707333
1988-06-20,0.707333
1988-06-21,0.71568
1988-06-22,0.722835
1988-06-23,0.730984
1988-06-24,0.730984
1988-06-27,0.700079
1988-06-28,0.730984
1988-06-29,0.722835
1988-06-30,0.730984
1988-07-01,0.722835
1988-07-05,0.722835
1988-07-06,0.700079
1988-07-07,0.69203
1988-07-08,0.684477
1988-07-11,0.676826
1988-07-12,0.661622
1988-07-13,0.669075
1988-07-14,0.700079
1988-07-15,0.69203
1988-07-18,0.684477
1988-07-19,0.684477
1988-07-20,0.684477
1988-07-21,0.669075
1988-07-22,0.653672
1988-07-25,0.646318
1988-07-26,0.653672
1988-07-27,0.653672
1988-07-28,0.661622
1988-07-29,0.69203
1988-08-01,0.707333
1988-08-02,0.684477
1988-08-03,0.700079
1988-08-04,0.69203
1988-08-05,0.684477
1988-08-08,0.684477
1988-08-09,0.676826
1988-08-10,0.661622
1988-08-11,0.646318
1988-08-12,0.653672
1988-08-15,0.653672
1988-08-16,0.646318
1988-08-17,0.638368
1988-08-18,0.630717
1988-08-19,0.630717
1988-08-22,0.622966
1988-08-23,0.615314
1988-08-24,0.615314
1988-08-25,0.600011
1988-08-26,0.600011
1988-08-29,0.607563
1988-08-30,0.615314
1988-08-31,0.59216
1988-09-01,0.59216
1988-09-02,0.615314
1988-09-06,0.622966
1988-09-07,0.646318
1988-09-08,0.653672
1988-09-09,0.661622
