Date,PA.F
1986-07-15,111.55
1986-07-16,112.5
1986-07-17,112.6
1986-07-18,112.2
1986-07-21,112.85
1986-07-22,112.5
1986-07-23,111.75
1986-07-24,111.3
1986-07-25,111.5
1986-07-28,111.8
1986-07-29,111.85
1986-07-30,111.65
1986-07-31,113.8
1986-08-01,113.1
1986-08-04,114.05
1986-08-05,115.3
1986-08-06,121.2
1986-08-07,123.5
1986-08-08,126.25
1986-08-11,132.25
1986-08-12,128.8
1986-08-13,128.75
1986-08-14,134.25
1986-08-15,133.55
1986-08-18,128.05
1986-08-19,125.05
1986-08-20,130.8
1986-08-21,134.8
1986-08-22,135.25
1986-08-25,138.9
1986-08-26,135.15
1986-08-27,135.1
1986-08-28,138.4
1986-08-29,140.15
1986-09-02,146.15
1986-09-03,146.1
1986-09-04,148.4
1986-09-05,151.15
1986-09-08,145.15
1986-09-09,139.2
1986-09-10,137.7
1986-09-11,133.7
1986-09-12,137.55
1986-09-15,140.0
1986-09-16,143.8
1986-09-17,142.55
1986-09-18,137.9
1986-09-19,143.9
1986-09-22,146.25
1986-09-23,145.2
1986-09-24,144.65
1986-09-25,138.65
1986-09-26,137.35
1986-09-29,134.2
1986-09-30,136.8
1986-10-01,138.1
1986-10-02,143.65
1986-10-03,140.95
1986-10-06,142.8
1986-10-07,142.75
1986-10-08,141.8
1986-10-09,137.7
1986-10-10,138.35
1986-10-13,139.05
1986-10-14,136.7
1986-10-15,135.6
1986-10-16,135.8
1986-10-17,134.4
1986-10-20,138.25
1986-10-21,136.25
1986-10-22,136.35
1986-10-23,131.65
1986-10-24,127.4
1986-10-27,129.8
1986-10-28,130.0
1986-10-29,128.05
1986-10-30,131.45
1986-10-31,129.3
1986-11-03,130.3
1986-11-04,130.7
1986-11-05,129.0
1986-11-06,128.6
1986-11-07,129.6
1986-11-10,128.8
1986-11-11,128.75
1986-11-12,127.0
1986-11-13,126.05
1986-11-14,122.2
1986-11-17,116.15
1986-11-18,118.55
1986-11-19,115.4
1986-11-20,117.0
1986-11-21,114.6
