Date,^DJI
1987-07-08,2464.0
1987-07-09,2451.2
1987-07-10,2456.0
1987-07-13,2453.0
1987-07-14,2481.4
1987-07-15,2483.7
1987-07-16,2497.0
1987-07-17,2510.0
1987-07-20,2487.8
1987-07-21,2468.0
1987-07-22,2470.2
1987-07-23,2471.9
1987-07-24,2485.3
1987-07-27,2493.9
1987-07-28,2519.8
1987-07-29,2539.5
1987-07-30,2567.4
1987-07-31,2572.1
1987-08-03,2557.1
1987-08-04,2546.7
1987-08-05,2566.7
1987-08-06,2594.2
1987-08-07,2592.0
1987-08-10,2635.8
1987-08-11,2680.5
1987-08-12,2669.3
1987-08-13,2691.5
1987-08-14,2685.4
1987-08-17,2700.6
1987-08-18,2654.7
1987-08-19,2665.8
1987-08-20,2706.8
1987-08-21,2709.5
1987-08-24,2697.1
1987-08-25,2722.4
1987-08-26,2701.9
1987-08-27,2675.1
1987-08-28,2639.4
1987-08-31,2663.0
1987-09-01,2611.0
1987-09-02,2602.0
1987-09-03,2599.5
1987-09-04,2561.4
1987-09-08,2545.1
1987-09-09,2549.3
1987-09-10,2576.1
1987-09-11,2608.7
1987-09-14,2613.0
1987-09-15,2566.6
1987-09-16,2530.2
1987-09-17,2527.9
1987-09-18,2524.6
1987-09-21,2492.8
1987-09-22,2568.1
1987-09-23,2585.7
1987-09-24,2566.4
1987-09-25,2570.2
1987-09-28,2601.5
1987-09-29,2590.6
1987-09-30,2596.3
1987-10-01,2639.2
1987-10-02,2641.0
1987-10-05,2640.2
1987-10-06,2548.6
1987-10-07,2551.1
1987-10-08,2516.6
1987-10-09,2482.2
1987-10-12,2471.4
1987-10-13,2508.2
1987-10-14,2412.7
1987-10-15,2355.1
1987-10-16,2246.7
1987-10-19,1738.7
1987-10-20,1841.0
1987-10-21,2027.9
1987-10-22,1950.4
1987-10-23,1950.8
1987-10-26,1793.9
1987-10-27,1846.5
1987-10-28,1846.8
1987-10-29,1938.3
1987-10-30,1993.5
1987-11-02,2014.1
1987-11-03,1963.5
1987-11-04,1945.3
1987-11-05,1985.4
1987-11-06,1959.1
1987-11-09,1900.2
1987-11-10,1878.2
1987-11-11,1899.2
1987-11-12,1960.2
1987-11-13,1935.0
1987-11-16,1949.1
1987-11-17,1922.3
1987-11-18,1939.2
1987-11-19,1895.4
1987-11-20,1913.6
1987-11-23,1923.1
1987-11-24,1963.5
1987-11-25,1947.0
1987-11-27,1910.5
1987-11-30,1833.6
1987-12-01,1842.3
1987-12-02,1849.0
1987-12-03,1776.5
1987-12-04,1766.7
1987-12-07,1812.2
1987-12-08,1868.4
1987-12-09,1902.5
1987-12-10,1855.4
1987-12-11,1867.0
1987-12-14,1932.9
1987-12-15,1941.5
1987-12-16,1974.5
1987-12-17,1924.4
1987-12-18,1975.3
1987-12-21,1990.4
1987-12-22,1978.5
1987-12-23,2005.6
1987-12-24,1999.7
1987-12-28,1943.0
1987-12-29,1926.9
1987-12-30,1950.1
1987-12-31,1938.8
1988-01-04,2015.3
1988-01-05,2031.5
1988-01-06,2037.8
1988-01-07,2051.9
1988-01-08,1911.3
1988-01-11,1945.1
1988-01-12,1928.6
1988-01-13,1924.7
1988-01-14,1916.1
1988-01-15,1956.1
1988-01-18,1963.9
1988-01-19,1936.3
1988-01-20,1879.1
1988-01-21,1879.3
1988-01-22,1903.5
1988-01-25,1946.5
1988-01-26,1920.6
1988-01-27,1911.1
1988-01-28,1930.0
1988-01-29,1958.2
1988-02-01,1944.6
1988-02-02,1952.9
