Date,JPM.US
1987-07-20,5.28872
1987-07-21,5.23747
1987-07-22,5.20843
1987-07-23,5.17185
1987-07-24,5.23747
1987-07-27,5.20843
1987-07-28,5.12873
1987-07-29,5.19415
1987-07-30,5.15738
1987-07-31,5.12873
1987-08-03,5.07749
1987-08-04,5.10643
1987-08-05,5.17185
1987-08-06,5.09235
1987-08-07,5.12873
1987-08-10,5.28872
1987-08-11,5.67391
1987-08-12,5.65964
1987-08-13,5.83419
1987-08-14,5.68848
1987-08-17,5.7538
1987-08-18,5.67391
1987-08-19,5.51393
1987-08-20,5.51393
1987-08-21,5.39765
1987-08-24,5.31746
1987-08-25,5.41936
1987-08-26,5.35414
1987-08-27,5.23747
1987-08-28,5.17185
1987-08-31,5.20843
1987-09-01,5.1433
1987-09-02,5.09235
1987-09-03,5.09235
1987-09-04,5.01216
1987-09-08,5.04834
1987-09-09,5.03377
1987-09-10,5.05568
1987-09-11,5.03377
1987-09-14,5.21586
1987-09-15,5.16501
1987-09-16,5.05568
1987-09-17,4.99046
1987-09-18,4.95388
1987-09-21,4.90273
1987-09-22,4.96855
1987-09-23,4.96855
1987-09-24,4.90273
1987-09-25,4.85208
1987-09-28,4.96855
1987-09-29,4.88866
1987-09-30,5.00483
1987-10-01,5.05568
1987-10-02,5.0192
1987-10-05,4.96855
1987-10-06,4.85208
1987-10-07,4.85208
1987-10-08,4.78636
1987-10-09,4.77189
1987-10-12,4.82284
1987-10-13,4.96855
1987-10-14,4.87409
1987-10-15,4.90273
1987-10-16,4.67743
1987-10-19,3.38268
1987-10-20,3.31706
1987-10-21,3.67321
1987-10-22,3.68808
1987-10-23,3.60799
1987-10-26,3.31706
1987-10-27,3.36067
1987-10-28,3.41172
1987-10-29,3.39735
1987-10-30,3.54266
1987-11-02,3.70988
1987-11-03,3.60799
1987-11-04,3.72465
1987-11-05,3.7753
1987-11-06,3.73922
1987-11-09,3.73922
1987-11-10,3.7537
1987-11-11,3.84083
1987-11-12,3.7753
1987-11-13,3.73922
1987-11-16,3.70988
1987-11-17,3.65913
1987-11-18,3.59361
1987-11-19,3.55704
1987-11-20,3.65913
1987-11-23,3.60799
1987-11-24,3.59361
1987-11-25,3.49142
1987-11-27,3.49142
1987-11-30,3.38268
1987-12-01,3.36067
1987-12-02,3.42639
1987-12-03,3.26591
1987-12-04,3.17878
1987-12-07,3.11316
1987-12-08,3.17878
1987-12-09,3.23717
1987-12-10,3.22259
1987-12-11,3.23717
1987-12-14,3.23717
1987-12-15,2.80013
1987-12-16,2.95338
1987-12-17,2.88815
1987-12-18,3.10642
1987-12-21,3.10642
1987-12-22,3.09155
1987-12-23,3.1424
1987-12-24,3.10642
1987-12-28,3.06955
1987-12-29,3.09155
1987-12-30,3.06955
1987-12-31,2.88815
1988-01-04,3.10642
1988-01-05,2.9389
1988-01-06,2.95338
1988-01-07,2.96775
1988-01-08,2.74968
1988-01-11,2.9169
1988-01-12,2.83681
1988-01-13,2.8151
1988-01-14,2.77119
1988-01-15,2.78606
1988-01-18,2.74968
1988-01-19,2.77119
1988-01-20,2.78606
1988-01-21,2.77119
1988-01-22,2.72063
1988-01-25,2.80013
1988-01-26,2.74968
1988-01-27,2.78606
1988-01-28,2.80013
1988-01-29,2.90262
1988-02-01,2.8151
1988-02-02,2.80013
1988-02-03,2.8151
1988-02-04,2.90262
1988-02-05,3.0187
1988-02-08,2.95338
1988-02-09,2.95338
1988-02-10,2.98965
1988-02-11,3.00432
1988-02-12,3.06955
1988-02-16,3.17194
1988-02-17,3.1207
1988-02-18,3.10642
1988-02-19,3.1424
1988-02-22,3.18641
1988-02-23,3.15697
1988-02-24,3.22259
1988-02-25,3.23717
1988-02-26,3.28821
1988-02-29,3.37524
1988-03-01,3.38972
1988-03-02,3.44086
1988-03-03,3.44086
1988-03-04,3.30982
1988-03-07,3.36067
1988-03-08,3.41172
1988-03-09,3.33163
1988-03-10,3.29545
1988-03-11,3.33163
1988-03-14,3.38268
1988-03-15,3.3465
1988-03-16,3.33163
1988-03-17,3.36801
1988-03-18,3.29545
1988-03-21,3.28088
1988-03-22,3.25867
1988-03-23,3.25867
1988-03-24,3.15697
1988-03-25,3.1207
1988-03-28,3.10642
1988-03-29,3.08442
1988-03-30,3.05508
1988-03-31,2.96775
1988-04-04,2.98232
1988-04-05,3.10642
1988-04-06,3.2443
1988-04-07,3.2443
1988-04-08,3.2443
1988-04-11,3.29545
1988-04-12,3.29545
1988-04-13,3.29545
1988-04-14,3.20802
1988-04-15,3.20802
1988-04-18,3.25867
1988-04-19,3.28088
1988-04-20,3.22259
1988-04-21,3.2443
1988-04-22,3.25867
1988-04-25,3.33163
1988-04-26,3.43343
1988-04-27,3.43343
1988-04-28,3.43343
1988-04-29,3.41906
1988-05-02,3.43343
1988-05-03,3.43343
1988-05-04,3.41906
1988-05-05,3.36801
1988-05-06,3.39735
1988-05-09,3.43343
1988-05-10,3.4481
1988-05-11,3.4481
1988-05-12,3.52095
1988-05-13,3.59361
1988-05-16,3.67321
1988-05-17,3.64446
1988-05-18,3.53563
1988-05-19,3.59361
1988-05-20,3.69551
1988-05-23,3.70988
1988-05-24,3.76083
1988-05-25,3.81912
1988-05-26,3.86987
1988-05-27,3.88464
1988-05-31,4.00815
1988-06-01,4.183
1988-06-02,4.12471
1988-06-03,4.23385
1988-06-06,4.35022
1988-06-07,4.35022
1988-06-08,4.37232
1988-06-09,4.23385
1988-06-10,4.27023
1988-06-13,4.27023
1988-06-14,4.34249
1988-06-15,4.30621
1988-06-16,4.05939
1988-06-17,4.183
1988-06-20,4.20451
1988-06-21,4.25546
1988-06-22,4.34249
1988-06-23,4.32821
1988-06-24,4.37916
1988-06-27,4.27023
1988-06-28,4.29213
1988-06-29,4.25546
1988-06-30,4.34249
1988-07-01,4.13165
1988-07-05,4.30621
1988-07-06,4.21908
1988-07-07,4.25546
1988-07-08,4.21908
1988-07-11,4.21908
1988-07-12,4.16823
1988-07-13,4.25546
1988-07-14,4.27023
1988-07-15,4.34249
1988-07-18,4.25546
1988-07-19,4.16823
1988-07-20,4.21908
1988-07-21,4.20451
1988-07-22,4.183
1988-07-25,4.20451
1988-07-26,4.183
1988-07-27,4.183
1988-07-28,4.23385
1988-07-29,4.45212
1988-08-01,4.50267
1988-08-02,4.5903
1988-08-03,4.612
1988-08-04,4.66305
1988-08-05,4.7139
1988-08-08,4.77189
1988-08-09,4.7139
1988-08-10,4.51744
1988-08-11,4.53905
1988-08-12,4.53905
1988-08-15,4.42991
1988-08-16,4.45212
1988-08-17,4.55392
1988-08-18,4.55392
1988-08-19,4.57563
1988-08-22,4.46659
1988-08-23,4.4883
1988-08-24,4.53905
1988-08-25,4.51744
1988-08-26,4.50267
1988-08-29,4.51744
1988-08-30,4.51744
1988-08-31,4.53905
1988-09-01,4.4883
1988-09-02,4.64115
1988-09-06,4.67743
1988-09-07,4.73571
1988-09-08,4.612
1988-09-09,4.58266
1988-09-12,4.58266
1988-09-13,4.58266
1988-09-14,4.59743
1988-09-15,4.61914
1988-09-16,4.63371
1988-09-19,4.6919
1988-09-20,4.72828
1988-09-21,4.80083
1988-09-22,4.72828
1988-09-23,4.65532
1988-09-26,4.59743
1988-09-27,4.61914
1988-09-28,4.61914
1988-09-29,4.56076
1988-09-30,4.63371
1988-10-03,4.45212
1988-10-04,4.52468
1988-10-05,4.52468
1988-10-06,4.4883
1988-10-07,4.58266
1988-10-10,4.56076
1988-10-11,4.54648
1988-10-12,4.47373
1988-10-13,4.47373
1988-10-14,4.52468
1988-10-17,4.54648
1988-10-18,4.56076
1988-10-19,4.56076
1988-10-20,4.70657
1988-10-21,4.65532
1988-10-24,4.61914
1988-10-25,4.61914
1988-10-26,4.67019
1988-10-27,4.61914
1988-10-28,4.63371
1988-10-31,4.61914
1988-11-01,4.65532
1988-11-02,4.6919
1988-11-03,4.70657
1988-11-04,4.6919
1988-11-07,4.61914
1988-11-08,4.70657
1988-11-09,4.76485
1988-11-10,4.83731
1988-11-11,4.76485
1988-11-14,4.6919
1988-11-15,4.6919
1988-11-16,4.59743
1988-11-17,4.59743
1988-11-18,4.74245
1988-11-21,4.74245
1988-11-22,4.76485
1988-11-23,4.76485
1988-11-25,4.72828
1988-11-28,4.6919
1988-11-29,4.74245
1988-11-30,4.83731
1988-12-01,4.8158
1988-12-02,4.91036
1988-12-05,4.70657
1988-12-06,4.76485
1988-12-07,4.80083
1988-12-08,4.8158
1988-12-09,4.85922
1988-12-12,4.6919
1988-12-13,4.60457
1988-12-14,4.58266
1988-12-15,4.58266
1988-12-16,4.53221
1988-12-19,4.53221
1988-12-20,4.54648
1988-12-21,4.54648
1988-12-22,4.56849
1988-12-23,4.56849
1988-12-27,4.60457
1988-12-28,4.60457
1988-12-29,4.58266
1988-12-30,4.58266
1989-01-03,4.54648
1989-01-04,4.58266
1989-01-05,4.54648
1989-01-06,4.58266
1989-01-09,4.60457
1989-01-10,4.60457
1989-01-11,4.65532
1989-01-12,4.6919
1989-01-13,4.72828
1989-01-16,4.77189
1989-01-17,4.78636
