Date,MCD.US
1988-06-22,4.06252
1988-06-23,4.10604
1988-06-24,4.07726
1988-06-27,3.99814
1988-06-28,4.07726
1988-06-29,4.04828
1988-06-30,4.12009
1988-07-01,4.08408
1988-07-05,4.12009
1988-07-06,4.10604
1988-07-07,4.06252
1988-07-08,4.06252
1988-07-11,4.09843
1988-07-12,4.12731
1988-07-13,4.17785
1988-07-14,4.14175
1988-07-15,4.14897
1988-07-18,4.02692
1988-07-19,3.99814
1988-07-20,3.97608
1988-07-21,3.96193
1988-07-22,3.92603
1988-07-25,3.91881
1988-07-26,3.94769
1988-07-27,3.92603
1988-07-28,3.94769
1988-07-29,4.0195
1988-08-01,4.07726
1988-08-02,4.10604
1988-08-03,4.07726
1988-08-04,4.0195
1988-08-05,4.02692
1988-08-08,3.99814
1988-08-09,3.94769
1988-08-10,3.91881
1988-08-11,3.92603
1988-08-12,3.91881
1988-08-15,3.80368
1988-08-16,3.86114
1988-08-17,3.87559
1988-08-18,3.90417
1988-08-19,3.92603
1988-08-22,3.85432
1988-08-23,3.82544
1988-08-24,3.91881
1988-08-25,3.87559
1988-08-26,3.89725
1988-08-29,3.89725
1988-08-30,3.86114
1988-08-31,3.8831
1988-09-01,3.82544
1988-09-02,3.89725
1988-09-06,3.99814
1988-09-07,4.04096
1988-09-08,4.12009
1988-09-09,4.16351
1988-09-12,4.19921
1988-09-13,4.22068
1988-09-14,4.20653
1988-09-15,4.17785
1988-09-16,4.20653
1988-09-19,4.19921
1988-09-20,4.18497
1988-09-21,4.18497
1988-09-22,4.14897
1988-09-23,4.14897
1988-09-26,4.14897
1988-09-27,4.17785
1988-09-28,4.19921
1988-09-29,4.27112
1988-09-30,4.24214
1988-10-03,4.22068
1988-10-04,4.228
1988-10-05,4.30732
1988-10-06,4.32849
1988-10-07,4.42928
1988-10-10,4.55181
1988-10-11,4.48694
1988-10-12,4.34323
1988-10-13,4.34323
1988-10-14,4.34323
1988-10-17,4.36489
1988-10-18,4.42255
1988-10-19,4.35025
1988-10-20,4.48694
1988-10-21,4.32156
1988-10-24,4.28556
1988-10-25,4.2996
1988-10-26,4.24214
1988-10-27,4.22068
1988-10-28,4.24214
1988-10-31,4.24986
1988-11-01,4.34323
1988-11-02,4.32156
1988-11-03,4.28556
1988-11-04,4.19921
1988-11-07,4.08408
1988-11-08,4.12731
1988-11-09,4.10604
1988-11-10,4.18497
1988-11-11,4.09843
1988-11-14,4.12731
1988-11-15,4.14897
1988-11-16,4.02692
1988-11-17,4.09843
1988-11-18,4.12731
1988-11-21,4.12009
1988-11-22,4.16351
1988-11-23,4.18497
1988-11-25,4.14897
1988-11-28,4.14175
1988-11-29,4.14897
1988-11-30,4.17785
1988-12-01,4.16351
1988-12-02,4.14897
1988-12-05,4.18497
1988-12-06,4.24214
1988-12-07,4.24986
1988-12-08,4.2641
1988-12-09,4.2641
1988-12-12,4.22068
1988-12-13,4.22068
1988-12-14,4.228
1988-12-15,4.2641
1988-12-16,4.2641
1988-12-19,4.2996
1988-12-20,4.24986
1988-12-21,4.2641
1988-12-22,4.22068
1988-12-23,4.19921
1988-12-27,4.20653
1988-12-28,4.228
1988-12-29,4.24986
1988-12-30,4.2996
1989-01-03,4.17785
1989-01-04,4.24214
1989-01-05,4.228
1989-01-06,4.22068
1989-01-09,4.17785
1989-01-10,4.14175
1989-01-11,4.17785
1989-01-12,4.24214
1989-01-13,4.24986
1989-01-16,4.24214
1989-01-17,4.228
1989-01-18,4.22068
1989-01-19,4.24214
1989-01-20,4.22068
