Date,CVX.US
1987-04-08,5.0452
1987-04-09,4.8988
1987-04-10,5.02595
1987-04-13,4.96862
1987-04-14,4.86736
1987-04-15,4.91774
1987-04-16,4.85427
1987-04-20,4.86736
1987-04-21,5.0325
1987-04-22,4.88591
1987-04-23,4.80983
1987-04-24,4.71452
1987-04-27,4.69557
1987-04-28,4.77809
1987-04-29,4.82292
1987-04-30,4.91774
1987-05-01,4.7656
1987-05-04,4.83542
1987-05-05,4.92439
1987-05-06,5.05769
1987-05-07,5.11482
1987-05-08,5.10838
1987-05-11,5.05769
1987-05-12,5.0452
1987-05-13,5.0452
1987-05-14,5.0325
1987-05-15,4.87341
1987-05-18,4.90515
1987-05-19,4.73396
1987-05-20,4.84167
1987-05-21,4.84792
1987-05-22,4.84167
1987-05-26,4.90515
1987-05-27,4.91774
1987-05-28,4.91774
1987-05-29,5.00056
1987-06-01,5.07674
1987-06-02,5.00056
1987-06-03,5.0452
1987-06-04,5.0452
1987-06-05,4.99402
1987-06-08,4.96862
1987-06-09,4.96862
1987-06-10,4.95603
1987-06-11,4.95603
1987-06-12,4.96862
1987-06-15,5.01316
1987-06-16,5.12772
1987-06-17,5.10838
1987-06-18,5.11482
1987-06-19,5.10838
1987-06-22,5.11482
1987-06-23,5.12772
1987-06-24,5.11482
1987-06-25,5.18485
1987-06-26,5.15926
1987-06-29,5.30535
1987-06-30,5.3118
1987-07-01,5.24822
1987-07-02,5.33094
1987-07-06,5.35634
1987-07-07,5.42626
1987-07-08,5.36923
1987-07-09,5.35634
1987-07-10,5.36923
1987-07-13,5.36923
1987-07-14,5.39432
1987-07-15,5.42626
1987-07-16,5.48339
1987-07-17,5.48964
1987-07-20,5.38798
1987-07-21,5.22273
1987-07-22,5.15311
1987-07-23,5.12772
1987-07-24,5.12772
1987-07-27,5.11482
1987-07-28,5.20379
1987-07-29,5.21639
1987-07-30,5.15926
1987-07-31,5.18485
1987-08-03,5.3118
1987-08-04,5.21639
1987-08-05,5.15926
1987-08-06,5.19109
1987-08-07,5.1658
1987-08-10,5.1783
1987-08-11,5.19109
1987-08-12,5.20379
1987-08-13,5.00056
1987-08-14,5.07674
1987-08-17,5.01316
1987-08-18,5.0325
1987-08-19,5.07674
1987-08-20,5.15926
1987-08-21,5.14041
1987-08-24,5.0325
1987-08-25,5.01316
1987-08-26,5.08318
1987-08-27,5.12772
1987-08-28,5.01316
1987-08-31,5.05769
1987-09-01,4.94313
1987-09-02,4.89245
1987-09-03,4.89245
1987-09-04,4.79714
1987-09-08,4.70827
1987-09-09,4.7401
1987-09-10,4.72721
1987-09-11,4.68912
1987-09-14,4.65739
1987-09-15,4.6192
1987-09-16,4.49869
1987-09-17,4.43501
1987-09-18,4.39683
1987-09-21,4.3269
1987-09-22,4.65739
1987-09-23,4.63199
1987-09-24,4.6065
1987-09-25,4.6065
1987-09-28,4.65084
1987-09-29,4.65739
1987-09-30,4.65739
1987-10-01,4.7656
1987-10-02,4.81628
1987-10-05,4.79714
1987-10-06,4.63199
1987-10-07,4.55562
1987-10-08,4.45396
1987-10-09,4.42212
1987-10-12,4.42212
1987-10-13,4.49869
1987-10-14,4.35864
1987-10-15,4.31401
1987-10-16,4.28237
1987-10-19,3.57092
1987-10-20,3.86947
1987-10-21,3.88841
1987-10-22,3.80579
1987-10-23,3.68538
1987-10-26,3.24699
1987-10-27,3.41828
1987-10-28,3.51379
1987-10-29,3.64739
1987-10-30,3.83793
1987-11-02,3.85052
1987-11-03,3.76165
1987-11-04,3.76165
1987-11-05,3.74886
1987-11-06,3.622
1987-11-09,3.39924
1987-11-10,3.39924
1987-11-11,3.4759
1987-11-12,3.54543
1987-11-13,3.39924
1987-11-16,3.54543
1987-11-17,3.52639
1987-11-18,3.51994
1987-11-19,3.41213
1987-11-20,3.39924
1987-11-23,3.45041
1987-11-24,3.4759
1987-11-25,3.38049
1987-11-27,3.38049
1987-11-30,3.20226
1987-12-01,3.24699
1987-12-02,3.24699
1987-12-03,3.2214
1987-12-04,3.2214
1987-12-07,3.26603
1987-12-08,3.41828
1987-12-09,3.39924
1987-12-10,3.20226
1987-12-11,3.3422
1987-12-14,3.39924
1987-12-15,3.32326
1987-12-16,3.38049
1987-12-17,3.28507
1987-12-18,3.38654
1987-12-21,3.3546
1987-12-22,3.36135
1987-12-23,3.4881
1987-12-24,3.52639
1987-12-28,3.41213
1987-12-29,3.41828
1987-12-30,3.49445
1987-12-31,3.4759
1988-01-04,3.65344
1988-01-05,3.71702
1988-01-06,3.7677
1988-01-07,3.86322
1988-01-08,3.622
1988-01-11,3.56428
1988-01-12,3.50754
1988-01-13,3.4759
1988-01-14,3.57092
1988-01-15,3.622
1988-01-18,3.67884
1988-01-19,3.67884
1988-01-20,3.56428
1988-01-21,3.60266
1988-01-22,3.67249
1988-01-25,3.83793
1988-01-26,3.7808
1988-01-27,3.79329
1988-01-28,3.82503
1988-01-29,3.93929
1988-02-01,3.84418
1988-02-02,3.95219
1988-02-03,3.92025
1988-02-04,3.9138
1988-02-05,3.92025
1988-02-08,3.88226
1988-02-09,3.93314
1988-02-10,3.99642
1988-02-11,3.99642
1988-02-12,4.06674
1988-02-16,4.18071
1988-02-17,4.14887
1988-02-18,4.08549
1988-02-19,4.06674
1988-02-22,4.05345
1988-02-23,4.02211
1988-02-24,3.88841
1988-02-25,3.83793
1988-02-26,3.84418
1988-02-29,3.93314
1988-03-01,3.95219
1988-03-02,3.92025
1988-03-03,3.93314
1988-03-04,3.93314
1988-03-07,3.99642
1988-03-08,4.07884
1988-03-09,4.02211
1988-03-10,4.02211
1988-03-11,4.05345
1988-03-14,4.10463
1988-03-15,4.10463
1988-03-16,4.15512
1988-03-17,4.18071
1988-03-18,4.21264
1988-03-21,4.16821
1988-03-22,4.15512
1988-03-23,4.14887
1988-03-24,4.02211
1988-03-25,3.9138
1988-03-28,3.90121
1988-03-29,3.95219
1988-03-30,4.03471
1988-03-31,4.12992
1988-04-04,4.03471
1988-04-05,4.0474
1988-04-06,4.2186
1988-04-07,4.24418
1988-04-08,4.37144
1988-04-11,4.37788
1988-04-12,4.51109
1988-04-13,4.49205
1988-04-14,4.26343
1988-04-15,4.28237
1988-04-18,4.23804
1988-04-19,4.12992
1988-04-20,4.07884
1988-04-21,4.07884
1988-04-22,4.19975
1988-04-25,4.30141
1988-04-26,4.35864
1988-04-27,4.37788
1988-04-28,4.35864
1988-04-29,4.28237
1988-05-02,4.2186
1988-05-03,4.28237
1988-05-04,4.28237
1988-05-05,4.3269
1988-05-06,4.34595
1988-05-09,4.3398
1988-05-10,4.37144
1988-05-11,4.28237
1988-05-12,4.28872
1988-05-13,4.28872
1988-05-16,4.38423
1988-05-17,4.37144
1988-05-18,4.31401
1988-05-19,4.3269
1988-05-20,4.28872
1988-05-23,4.31401
1988-05-24,4.34595
1988-05-25,4.3269
1988-05-26,4.37144
1988-05-27,4.3269
1988-05-31,4.44136
1988-06-01,4.51754
1988-06-02,4.49869
1988-06-03,4.53658
1988-06-06,4.58736
1988-06-07,4.56187
1988-06-08,4.66373
1988-06-09,4.63824
1988-06-10,4.66373
1988-06-13,4.58736
1988-06-14,4.58736
1988-06-15,4.56187
1988-06-16,4.49869
1988-06-17,4.51754
1988-06-20,4.4857
1988-06-21,4.46656
1988-06-22,4.4857
1988-06-23,4.4857
1988-06-24,4.36549
1988-06-27,4.21264
1988-06-28,4.26987
1988-06-29,4.21264
1988-06-30,4.09174
1988-07-01,4.07884
1988-07-05,4.26343
1988-07-06,4.24418
1988-07-07,4.24418
1988-07-08,4.23804
1988-07-11,4.13637
1988-07-12,4.12338
1988-07-13,4.14887
1988-07-14,4.22524
1988-07-15,4.28237
1988-07-18,4.3398
1988-07-19,4.28237
1988-07-20,4.36549
1988-07-21,4.26343
1988-07-22,4.2061
1988-07-25,4.18735
1988-07-26,4.23804
1988-07-27,4.13637
1988-07-28,4.18735
1988-07-29,4.37144
1988-08-01,4.3269
1988-08-02,4.31401
1988-08-03,4.3398
1988-08-04,4.3398
1988-08-05,4.29536
1988-08-08,4.29536
1988-08-09,4.26987
1988-08-10,4.22524
1988-08-11,4.22524
1988-08-12,4.21264
1988-08-15,4.11088
1988-08-16,4.13637
1988-08-17,4.11088
1988-08-18,4.07884
1988-08-19,4.08549
1988-08-22,4.05345
1988-08-23,4.0474
1988-08-24,4.08549
1988-08-25,4.02826
1988-08-26,4.02826
1988-08-29,4.07884
1988-08-30,4.06674
1988-08-31,4.06674
1988-09-01,4.02211
1988-09-02,4.12338
1988-09-06,4.06674
1988-09-07,4.0474
1988-09-08,4.0474
1988-09-09,3.95219
1988-09-12,3.96478
1988-09-13,3.99642
1988-09-14,4.08549
1988-09-15,4.12338
1988-09-16,4.08549
1988-09-19,4.05345
1988-09-20,4.08549
1988-09-21,4.06674
1988-09-22,4.02211
1988-09-23,3.99017
1988-09-26,3.99642
