Date,PG.US
1987-04-02,4.09035
1987-04-03,4.28916
1987-04-06,4.26789
1987-04-07,4.1896
1987-04-08,4.1896
1987-04-09,4.11151
1987-04-10,4.09035
1987-04-13,3.94847
1987-04-14,3.79973
1987-04-15,3.89164
1987-04-16,3.87733
1987-04-20,3.8351
1987-04-21,3.99814
1987-04-22,3.87733
1987-04-23,3.89899
1987-04-24,3.8207
1987-04-27,3.77122
1987-04-28,3.70048
1987-04-29,3.70048
1987-04-30,3.73595
1987-05-01,3.67226
1987-05-04,3.70048
1987-05-05,3.80679
1987-05-06,3.75721
1987-05-07,3.92035
1987-05-08,4.12601
1987-05-11,4.06213
1987-05-12,4.09035
1987-05-13,4.06213
1987-05-14,4.01941
1987-05-15,3.96277
1987-05-18,3.92035
1987-05-19,3.87087
1987-05-20,3.89164
1987-05-21,3.81414
1987-05-22,3.87733
1987-05-26,4.06908
1987-05-27,4.02676
1987-05-28,4.07624
1987-05-29,4.03361
1987-06-01,4.05498
1987-06-02,4.06908
1987-06-03,4.11846
1987-06-04,4.11151
1987-06-05,4.06908
1987-06-08,4.13992
1987-06-09,4.13287
1987-06-10,4.20381
1987-06-11,4.21802
1987-06-12,4.31727
1987-06-15,4.33128
1987-06-16,4.38106
1987-06-17,4.28916
1987-06-18,4.26789
1987-06-19,4.27445
1987-06-22,4.34579
1987-06-23,4.34579
1987-06-24,4.33128
1987-06-25,4.36695
1987-06-26,4.2816
1987-06-29,4.31727
1987-06-30,4.31727
1987-07-01,4.22507
1987-07-02,4.23918
1987-07-06,4.22507
1987-07-07,4.26044
1987-07-08,4.18255
1987-07-09,4.16864
1987-07-10,4.13992
1987-07-13,4.16864
1987-07-14,4.21802
1987-07-15,4.19676
1987-07-16,4.16864
1987-07-17,4.1896
1987-07-20,4.04762
1987-07-21,4.04762
1987-07-22,4.06908
1987-07-23,4.06908
1987-07-24,4.05498
1987-07-27,4.01941
1987-07-28,4.03361
1987-07-29,4.06908
1987-07-30,4.0978
1987-07-31,4.10435
1987-08-03,4.01941
1987-08-04,4.07624
1987-08-05,4.1896
1987-08-06,4.30306
1987-08-07,4.26789
1987-08-10,4.28916
1987-08-11,4.33873
1987-08-12,4.38106
1987-08-13,4.452
1987-08-14,4.48707
1987-08-17,4.49472
1987-08-18,4.39517
1987-08-19,4.41663
1987-08-20,4.48012
1987-08-21,4.46591
1987-08-24,4.43769
1987-08-25,4.45905
1987-08-26,4.39517
1987-08-27,4.43769
1987-08-28,4.40928
1987-08-31,4.51568
1987-09-01,4.33873
1987-09-02,4.34579
1987-09-03,4.29601
1987-09-04,4.21802
1987-09-08,4.20381
1987-09-09,4.21057
1987-09-10,4.27445
1987-09-11,4.33873
1987-09-14,4.40232
1987-09-15,4.34579
1987-09-16,4.25388
1987-09-17,4.26789
1987-09-18,4.27445
1987-09-21,4.21802
1987-09-22,4.36695
1987-09-23,4.3742
1987-09-24,4.3597
1987-09-25,4.34579
1987-09-28,4.43074
1987-09-29,4.48707
1987-09-30,4.452
1987-10-01,4.46591
1987-10-02,4.43769
1987-10-05,4.56556
1987-10-06,4.38831
1987-10-07,4.39517
1987-10-08,4.34579
1987-10-09,4.28916
1987-10-12,4.29601
1987-10-13,4.35235
1987-10-14,4.13992
1987-10-15,3.99109
1987-10-16,3.74976
1987-10-19,2.70782
1987-10-20,3.30326
1987-10-21,3.57291
1987-10-22,3.43093
1987-10-23,3.61573
1987-10-26,3.50187
1987-10-27,3.60152
1987-10-28,3.54449
1987-10-29,3.75721
1987-10-30,3.89164
1987-11-02,3.82815
1987-11-03,3.74976
1987-11-04,3.74976
1987-11-05,3.8351
1987-11-06,3.74976
1987-11-09,3.69352
1987-11-10,3.6507
1987-11-11,3.743
1987-11-12,3.89164
1987-11-13,3.77837
1987-11-16,3.79288
1987-11-17,3.743
1987-11-18,3.81414
1987-11-19,3.77837
1987-11-20,3.79288
1987-11-23,3.81414
1987-11-24,3.86322
1987-11-25,3.78562
1987-11-27,3.72869
1987-11-30,3.58701
1987-12-01,3.60152
1987-12-02,3.60808
1987-12-03,3.40261
1987-12-04,3.43828
1987-12-07,3.52333
1987-12-08,3.69352
1987-12-09,3.76446
1987-12-10,3.69352
1987-12-11,3.67912
1987-12-14,3.81414
1987-12-15,3.8207
1987-12-16,3.89164
1987-12-17,3.79973
1987-12-18,3.85666
1987-12-21,3.84226
1987-12-22,3.79973
1987-12-23,3.87087
1987-12-24,3.87087
1987-12-28,3.75721
1987-12-29,3.71498
1987-12-30,3.72174
1987-12-31,3.76446
1988-01-04,3.8351
1988-01-05,3.81414
1988-01-06,3.79973
1988-01-07,3.84951
1988-01-08,3.62219
1988-01-11,3.65805
1988-01-12,3.67912
1988-01-13,3.75721
1988-01-14,3.74976
1988-01-15,3.72174
1988-01-18,3.79973
1988-01-19,3.74976
1988-01-20,3.68617
1988-01-21,3.6507
1988-01-22,3.67226
1988-01-25,3.76446
1988-01-26,3.73595
1988-01-27,3.71498
1988-01-28,3.72174
1988-01-29,3.743
1988-02-01,3.72174
1988-02-02,3.70048
1988-02-03,3.61573
1988-02-04,3.57291
1988-02-05,3.57291
1988-02-08,3.57291
1988-02-09,3.60808
1988-02-10,3.68617
1988-02-11,3.6507
1988-02-12,3.70048
1988-02-16,3.73595
1988-02-17,3.69352
1988-02-18,3.62219
1988-02-19,3.63669
1988-02-22,3.67226
1988-02-23,3.66491
1988-02-24,3.64384
1988-02-25,3.62219
1988-02-26,3.62219
1988-02-29,3.71498
1988-03-01,3.67912
1988-03-02,3.58701
1988-03-03,3.62974
1988-03-04,3.57291
1988-03-07,3.57291
1988-03-08,3.62219
1988-03-09,3.58701
1988-03-10,3.52333
1988-03-11,3.52333
1988-03-14,3.57996
1988-03-15,3.57291
1988-03-16,3.55135
1988-03-17,3.55135
1988-03-18,3.61573
1988-03-21,3.59407
1988-03-22,3.60152
1988-03-23,3.56585
1988-03-24,3.50902
1988-03-25,3.40261
1988-03-28,3.47385
1988-03-29,3.45239
1988-03-30,3.44504
1988-03-31,3.43093
1988-04-04,3.40261
1988-04-05,3.43828
1988-04-06,3.5589
1988-04-07,3.52333
1988-04-08,3.59407
1988-04-11,3.62219
1988-04-12,3.67226
1988-04-13,3.6507
1988-04-14,3.43093
1988-04-15,3.47385
1988-04-18,3.43093
1988-04-19,3.40261
1988-04-20,3.36048
1988-04-21,3.32442
1988-04-22,3.40261
1988-04-25,3.45239
1988-04-26,3.47385
1988-04-27,3.44504
1988-04-28,3.45239
1988-04-29,3.40261
1988-05-02,3.37439
1988-05-03,3.42377
1988-05-04,3.35283
1988-05-05,3.32442
1988-05-06,3.2964
1988-05-09,3.27484
1988-05-10,3.28249
1988-05-11,3.21135
1988-05-12,3.21135
1988-05-13,3.26103
1988-05-16,3.2964
1988-05-17,3.24662
1988-05-18,3.16177
1988-05-19,3.19039
1988-05-20,3.17598
1988-05-23,3.19695
1988-05-24,3.23271
1988-05-25,3.25398
1988-05-26,3.22556
1988-05-27,3.21861
1988-05-31,3.36704
1988-06-01,3.42377
1988-06-02,3.40261
1988-06-03,3.40966
1988-06-06,3.40261
1988-06-07,3.36048
