Date,CAT.US
1988-05-17,4.55299
1988-05-18,4.44295
1988-05-19,4.35447
1988-05-20,4.38377
1988-05-23,4.29548
1988-05-24,4.30988
1988-05-25,4.28803
1988-05-26,4.33213
1988-05-27,4.30263
1988-05-31,4.42806
1988-06-01,4.52389
1988-06-02,4.50194
1988-06-03,4.55299
1988-06-06,4.57513
1988-06-07,4.51654
1988-06-08,4.62668
1988-06-09,4.56808
1988-06-10,4.59013
1988-06-13,4.60473
1988-06-14,4.69341
1988-06-15,4.70076
1988-06-16,4.69341
1988-06-17,4.70076
1988-06-20,4.71556
1988-06-21,4.7375
1988-06-22,4.88468
1988-06-23,4.84793
1988-06-24,4.7375
1988-06-27,4.70076
1988-06-28,4.73025
1988-06-29,4.7229
1988-06-30,4.84039
1988-07-01,4.7521
1988-07-05,4.77405
1988-07-06,4.79649
1988-07-07,4.767
1988-07-08,4.75955
1988-07-11,4.7521
1988-07-12,4.59738
1988-07-13,4.59738
1988-07-14,4.59013
1988-07-15,4.60473
1988-07-18,4.54574
1988-07-19,4.4652
1988-07-20,4.45011
1988-07-21,4.42806
1988-07-22,4.36917
1988-07-25,4.44295
1988-07-26,4.45011
1988-07-27,4.42806
1988-07-28,4.42061
1988-07-29,4.45716
1988-08-01,4.4795
1988-08-02,4.5088
1988-08-03,4.4795
1988-08-04,4.52389
1988-08-05,4.5088
1988-08-08,4.4942
1988-08-09,4.36917
1988-08-10,4.24394
1988-08-11,4.21415
1988-08-12,4.21415
1988-08-15,4.13331
1988-08-16,4.11087
1988-08-17,3.96379
1988-08-18,3.96379
1988-08-19,3.94165
1988-08-22,3.94165
1988-08-23,3.95674
1988-08-24,4.03033
1988-08-25,4.08197
1988-08-26,4.04523
1988-08-29,4.08197
1988-08-30,4.07432
1988-08-31,3.98604
1988-09-01,3.87561
1988-09-02,3.949
1988-09-06,3.99339
1988-09-07,4.03033
1988-09-08,4.03708
1988-09-09,4.06677
1988-09-12,4.02258
1988-09-13,4.11087
1988-09-14,4.08197
1988-09-15,4.02258
1988-09-16,4.04523
1988-09-19,4.02258
1988-09-20,4.00798
1988-09-21,4.02258
1988-09-22,4.03708
1988-09-23,4.03708
1988-09-26,3.99339
1988-09-27,4.03033
