Date,INTC.US
1987-02-27,0.558759
1987-03-02,0.544701
1987-03-03,0.523317
1987-03-04,0.537771
1987-03-05,0.537771
1987-03-06,0.530544
1987-03-09,0.523317
1987-03-10,0.530544
1987-03-11,0.523317
1987-03-12,0.523317
1987-03-13,0.509259
1987-03-16,0.523317
1987-03-17,0.558759
1987-03-18,0.558759
1987-03-19,0.587073
1987-03-20,0.58044
1987-03-23,0.572619
1987-03-24,0.565986
1987-03-25,0.558759
1987-03-26,0.58044
1987-03-27,0.601131
1987-03-30,0.565986
1987-03-31,0.572619
1987-04-01,0.601131
1987-04-02,0.594597
1987-04-03,0.636772
1987-04-06,0.622515
1987-04-07,0.615486
1987-04-08,0.643702
1987-04-09,0.643702
1987-04-10,0.657661
1987-04-13,0.615486
1987-04-14,0.601131
1987-04-15,0.608457
1987-04-16,0.629742
1987-04-20,0.615486
1987-04-21,0.643702
1987-04-22,0.636772
1987-04-23,0.657661
1987-04-24,0.650929
1987-04-27,0.665185
1987-04-28,0.679441
1987-04-29,0.679441
1987-04-30,0.693301
1987-05-01,0.679441
1987-05-04,0.679441
1987-05-05,0.693301
1987-05-06,0.679441
1987-05-07,0.665185
1987-05-08,0.665185
1987-05-11,0.657661
1987-05-12,0.643702
1987-05-13,0.657661
1987-05-14,0.657661
1987-05-15,0.650929
1987-05-18,0.643702
1987-05-19,0.601131
1987-05-20,0.615486
1987-05-21,0.615486
1987-05-22,0.587073
1987-05-26,0.622515
1987-05-27,0.622515
1987-05-28,0.629742
1987-05-29,0.643702
1987-06-01,0.622515
1987-06-02,0.58044
1987-06-03,0.594597
1987-06-04,0.594597
1987-06-05,0.594597
1987-06-08,0.608457
1987-06-09,0.636772
1987-06-10,0.622515
1987-06-11,0.629742
1987-06-12,0.622515
1987-06-15,0.608457
1987-06-16,0.601131
1987-06-17,0.622515
1987-06-18,0.615486
1987-06-19,0.608457
1987-06-22,0.622515
1987-06-23,0.636772
1987-06-24,0.629742
1987-06-25,0.615486
1987-06-26,0.650929
1987-06-29,0.650929
1987-06-30,0.643702
1987-07-01,0.665185
1987-07-02,0.679441
1987-07-06,0.657661
1987-07-07,0.650929
1987-07-08,0.643702
1987-07-09,0.665185
1987-07-10,0.671917
1987-07-13,0.686074
1987-07-14,0.721318
1987-07-15,0.707557
1987-07-16,0.721318
1987-07-17,0.721318
1987-07-20,0.70033
1987-07-21,0.693301
1987-07-22,0.679441
1987-07-23,0.671917
1987-07-24,0.679441
1987-07-27,0.671917
1987-07-28,0.693301
1987-07-29,0.693301
1987-07-30,0.707557
1987-07-31,0.70033
1987-08-03,0.671917
1987-08-04,0.671917
1987-08-05,0.686074
1987-08-06,0.707557
1987-08-07,0.721318
1987-08-10,0.735871
1987-08-11,0.75676
1987-08-12,0.735871
1987-08-13,0.74983
1987-08-14,0.74983
1987-08-17,0.742801
1987-08-18,0.742801
1987-08-19,0.735871
1987-08-20,0.74983
1987-08-21,0.764383
1987-08-24,0.764383
1987-08-25,0.785371
