Date,IBM.US
1988-08-29,18.7745
1988-08-30,18.6895
1988-08-31,18.4624
1988-09-01,18.257
1988-09-02,18.8772
1988-09-06,18.6895
1988-09-07,18.5049
1988-09-08,18.5621
1988-09-09,18.9354
1988-09-12,18.8169
1988-09-13,19.0411
1988-09-14,18.9828
1988-09-15,18.8347
1988-09-16,18.9147
1988-09-19,18.6717
1988-09-20,18.6717
1988-09-21,18.7508
1988-09-22,18.5434
1988-09-23,18.6895
1988-09-26,18.5918
1988-09-27,18.7508
1988-09-28,18.8544
1988-09-29,19.1023
1988-09-30,19.1023
1988-10-03,19.0233
1988-10-04,18.9641
1988-10-05,18.8544
1988-10-06,18.8772
1988-10-07,19.21
1988-10-10,19.2287
1988-10-11,19.6603
1988-10-12,19.4559
1988-10-13,19.6415
1988-10-14,19.8262
1988-10-17,20.0583
1988-10-18,20.5975
1988-10-19,20.2676
1988-10-20,20.6775
1988-10-21,20.5975
1988-10-24,20.3842
1988-10-25,20.3457
1988-10-26,20.1383
1988-10-27,19.9092
1988-10-28,19.9921
1988-10-31,20.3052
1988-11-01,20.5343
1988-11-02,20.3457
1988-11-03,20.2459
1988-11-04,19.9092
1988-11-07,19.7274
1988-11-08,19.8262
1988-11-09,19.845
1988-11-10,19.8262
1988-11-11,19.3166
1988-11-14,19.3956
1988-11-15,19.4559
1988-11-16,19.13
1988-11-17,19.13
1988-11-18,19.1675
1988-11-21,19.1497
1988-11-22,19.3769
1988-11-23,19.5418
1988-11-25,19.21
1988-11-28,19.6879
1988-11-29,19.765
1988-11-30,19.6198
1988-12-01,19.5813
1988-12-02,19.7452
1988-12-05,20.0119
1988-12-06,20.2242
1988-12-07,20.0405
1988-12-08,19.765
1988-12-09,19.9348
1988-12-12,19.9575
1988-12-13,19.9921
1988-12-14,19.9575
1988-12-15,20.0405
1988-12-16,20.079
1988-12-19,20.3259
1988-12-20,20.4118
1988-12-21,20.3644
1988-12-22,20.2844
1988-12-23,20.4306
1988-12-27,20.3842
1988-12-28,20.2844
1988-12-29,20.4118
1988-12-30,20.1807
1989-01-03,20.0405
1989-01-04,20.2844
1989-01-05,20.2459
1989-01-06,20.1807
1989-01-09,20.1975
1989-01-10,20.0583
1989-01-11,20.2459
1989-01-12,20.3842
1989-01-13,20.4306
1989-01-16,20.5698
1989-01-17,20.5106
1989-01-18,20.6992
1989-01-19,20.5698
1989-01-20,20.475
1989-01-23,20.2676
1989-01-24,20.5698
1989-01-25,20.4118
1989-01-26,20.8631
1989-01-27,21.0093
1989-01-30,21.3243
1989-01-31,21.6275
1989-02-01,21.4616
1989-02-02,21.2572
1989-02-03,21.1545
1989-02-06,20.9708
1989-02-07,21.1367
1989-02-08,21.032
1989-02-09,20.9224
1989-02-10,20.6992
1989-02-13,20.8631
1989-02-14,20.6587
1989-02-15,21.032
1989-02-16,20.8444
1989-02-17,20.7397
1989-02-21,20.7841
1989-02-22,20.4306
1989-02-23,20.4306
1989-02-24,20.0583
1989-02-27,20.1383
1989-02-28,20.1205
1989-03-01,19.8548
1989-03-02,19.9575
1989-03-03,20.0119
1989-03-06,20.1205
1989-03-07,19.8548
1989-03-08,19.8055
1989-03-09,19.6415
1989-03-10,19.5813
1989-03-13,19.6879
1989-03-14,19.521
1989-03-15,19.3769
1989-03-16,19.5606
1989-03-17,18.6293
1989-03-20,18.1306
1989-03-21,18.2382
1989-03-22,18.0921
1989-03-23,18.1483
1989-03-27,18.2382
1989-03-28,18.2185
1989-03-29,18.1483
1989-03-30,18.0061
1989-03-31,18.0703
1989-04-03,17.9637
1989-04-04,17.7395
1989-04-05,17.8442
1989-04-06,17.8847
1989-04-07,18.1711
1989-04-10,18.2185
1989-04-11,18.4041
1989-04-12,18.4041
1989-04-13,18.0921
1989-04-14,18.3567
1989-04-17,18.4436
1989-04-18,18.7103
1989-04-19,18.6115
1989-04-20,18.6115
1989-04-21,18.7972
1989-04-24,18.7972
1989-04-25,18.9641
1989-04-26,18.9641
1989-04-27,18.9828
1989-04-28,18.8979
1989-05-01,18.7745
1989-05-02,18.6115
1989-05-03,18.4624
1989-05-04,18.3192
1989-05-05,18.1118
1989-05-08,18.1306
1989-05-09,18.1711
1989-05-10,18.1483
1989-05-11,18.0703
1989-05-12,18.337
1989-05-15,18.6717
1989-05-16,18.4436
1989-05-17,18.4624
1989-05-18,18.5434
1989-05-19,18.4041
1989-05-22,18.1938
1989-05-23,18.1306
1989-05-24,18.1711
1989-05-25,18.1483
1989-05-26,18.1306
1989-05-30,17.9271
1989-05-31,18.1483
1989-06-01,18.2185
1989-06-02,18.2382
1989-06-05,18.0526
1989-06-06,18.1483
1989-06-07,18.1306
1989-06-08,18.0921
1989-06-09,17.9459
1989-06-12,18.0298
1989-06-13,18.3784
1989-06-14,18.2767
1989-06-15,18.1118
1989-06-16,18.1306
1989-06-19,18.2767
1989-06-20,18.1306
1989-06-21,18.1711
1989-06-22,18.0703
1989-06-23,18.3567
1989-06-26,18.5434
1989-06-27,18.9423
1989-06-28,18.8544
1989-06-29,18.4624
1989-06-30,18.5246
1989-07-03,18.5918
1989-07-05,18.5434
1989-07-06,18.4821
1989-07-07,18.5681
1989-07-10,18.9828
1989-07-11,18.8544
1989-07-12,19.0026
1989-07-13,19.0233
1989-07-14,19.0026
1989-07-17,19.21
1989-07-18,19.0026
1989-07-19,18.9423
1989-07-20,18.6717
1989-07-21,18.8979
1989-07-24,18.7972
1989-07-25,18.6717
1989-07-26,18.6293
1989-07-27,18.7103
1989-07-28,18.7745
1989-07-31,19.0411
1989-08-01,18.9828
1989-08-02,18.8772
1989-08-03,18.8347
1989-08-04,19.13
1989-08-07,19.4351
1989-08-08,19.5813
1989-08-09,19.3956
1989-08-10,19.4559
1989-08-11,19.13
1989-08-14,19.2287
1989-08-15,19.2465
1989-08-16,19.13
1989-08-17,19.0026
1989-08-18,19.0618
1989-08-21,18.7103
1989-08-22,18.8169
1989-08-23,18.8772
1989-08-24,19.21
1989-08-25,19.2287
1989-08-28,19.5418
1989-08-29,19.2682
1989-08-30,19.3542
1989-08-31,19.3956
1989-09-01,19.4351
1989-09-05,19.5003
1989-09-06,19.3334
1989-09-07,19.2465
1989-09-08,19.21
1989-09-11,19.2465
1989-09-12,19.3542
1989-09-13,19.1023
1989-09-14,19.1675
1989-09-15,19.13
1989-09-18,19.2287
1989-09-19,19.21
1989-09-20,19.21
1989-09-21,19.2287
1989-09-22,19.2969
1989-09-25,19.2465
1989-09-26,19.4559
1989-09-27,18.4624
1989-09-28,18.0526
1989-09-29,18.0921
1989-10-02,17.9864
1989-10-03,17.5509
1989-10-04,17.9271
1989-10-05,17.8007
1989-10-06,17.8007
1989-10-09,18.0921
1989-10-10,17.9271
1989-10-11,17.8442
1989-10-12,17.8175
1989-10-13,16.8872
1989-10-16,17.0512
1989-10-17,16.9356
1989-10-18,16.8487
1989-10-19,17.2398
1989-10-20,17.2595
1989-10-23,17.14
1989-10-24,17.0512
1989-10-25,16.8714
1989-10-26,16.6798
1989-10-27,16.5367
1989-10-30,16.4764
1989-10-31,16.6028
1989-11-01,16.5633
1989-11-02,16.2108
1989-11-03,16.3095
1989-11-06,16.0024
1989-11-07,16.1248
1989-11-08,16.0241
1989-11-09,16.1248
1989-11-10,16.2473
1989-11-13,16.269
1989-11-14,16.2305
1989-11-15,16.2108
1989-11-16,16.0804
1989-11-17,16.4142
1989-11-20,16.35
1989-11-21,16.4764
1989-11-22,16.5811
1989-11-24,16.6206
1989-11-27,16.4557
1989-11-28,16.3737
1989-11-29,16.1871
1989-11-30,16.1624
1989-12-01,16.0804
1989-12-04,16.4349
1989-12-05,16.4952
1989-12-06,16.3293
1989-12-07,16.2305
1989-12-08,16.0448
1989-12-11,15.9165
1989-12-12,16.0646
1989-12-13,15.877
1989-12-14,15.7515
1989-12-15,15.7308
1989-12-18,15.5037
1989-12-19,15.6923
