Date,WBA.US
1989-11-01,1.71068
1989-11-02,1.66662
1989-11-03,1.65217
1989-11-06,1.63752
1989-11-07,1.64464
1989-11-08,1.6885
1989-11-09,1.66662
1989-11-10,1.65217
1989-11-13,1.6594
1989-11-14,1.6594
1989-11-15,1.6885
1989-11-16,1.72494
1989-11-17,1.75444
1989-11-20,1.81286
1989-11-21,1.7985
1989-11-22,1.76158
1989-11-24,1.75444
1989-11-27,1.78364
1989-11-28,1.76919
1989-11-29,1.77632
1989-11-30,1.76158
1989-12-01,1.77632
1989-12-04,1.74722
1989-12-05,1.72494
1989-12-06,1.71068
1989-12-07,1.67405
1989-12-08,1.7181
1989-12-11,1.76158
1989-12-12,1.76919
1989-12-13,1.74722
1989-12-14,1.70316
1989-12-15,1.70316
1989-12-18,1.6885
1989-12-19,1.68148
1989-12-20,1.7181
1989-12-21,1.76158
1989-12-22,1.76919
1989-12-26,1.76158
1989-12-27,1.78364
1989-12-28,1.8277
1989-12-29,1.84958
1990-01-02,1.89334
1990-01-03,1.87136
1990-01-04,1.80543
1990-01-05,1.76158
1990-01-08,1.7985
1990-01-09,1.78364
1990-01-10,1.76919
1990-01-11,1.7985
1990-01-12,1.7396
1990-01-15,1.70316
1990-01-16,1.70316
1990-01-17,1.66662
1990-01-18,1.67405
1990-01-19,1.70316
1990-01-22,1.67405
1990-01-23,1.6594
1990-01-24,1.64464
1990-01-25,1.6301
1990-01-26,1.62296
1990-01-29,1.6301
1990-01-30,1.59356
1990-01-31,1.63752
1990-02-01,1.64464
1990-02-02,1.68148
1990-02-05,1.67405
1990-02-06,1.66662
1990-02-07,1.6885
1990-02-08,1.65217
1990-02-09,1.6885
1990-02-12,1.65217
1990-02-13,1.6594
1990-02-14,1.6594
1990-02-15,1.66662
1990-02-16,1.65217
1990-02-20,1.62296
1990-02-21,1.62296
1990-02-22,1.6301
1990-02-23,1.6301
1990-02-26,1.65217
1990-02-27,1.6301
1990-02-28,1.61564
1990-03-01,1.63752
1990-03-02,1.65217
1990-03-05,1.67405
1990-03-06,1.70316
1990-03-07,1.6885
1990-03-08,1.72494
1990-03-09,1.70316
1990-03-12,1.69593
1990-03-13,1.68148
1990-03-14,1.6885
1990-03-15,1.6885
1990-03-16,1.70316
1990-03-19,1.69593
1990-03-20,1.71068
1990-03-21,1.71068
1990-03-22,1.68148
1990-03-23,1.68148
1990-03-26,1.68148
1990-03-27,1.69593
1990-03-28,1.66662
1990-03-29,1.68148
1990-03-30,1.6885
1990-04-02,1.66662
1990-04-03,1.69593
1990-04-04,1.69593
1990-04-05,1.6885
1990-04-06,1.69593
1990-04-09,1.70316
1990-04-10,1.71068
1990-04-11,1.71068
1990-04-12,1.7396
1990-04-16,1.75444
1990-04-17,1.7396
1990-04-18,1.71068
1990-04-19,1.70316
1990-04-20,1.66662
1990-04-23,1.63752
1990-04-24,1.65217
1990-04-25,1.66662
1990-04-26,1.66662
1990-04-27,1.6594
1990-04-30,1.66662
1990-05-01,1.69593
1990-05-02,1.6885
1990-05-03,1.69593
1990-05-04,1.69593
1990-05-07,1.69593
1990-05-08,1.69593
