Date,KO.US
1987-01-15,1.75006
1987-01-16,1.78193
1987-01-19,1.82055
1987-01-20,1.79235
1987-01-21,1.79235
1987-01-22,1.85897
1987-01-23,1.83435
1987-01-26,1.83733
1987-01-27,1.86949
1987-01-28,1.87624
1987-01-29,1.86949
1987-01-30,1.86582
1987-02-02,1.88359
1987-02-03,1.86949
1987-02-04,1.88359
1987-02-05,1.85897
1987-02-06,1.84825
1987-02-09,1.827
1987-02-10,1.82055
1987-02-11,1.88359
1987-02-12,1.88359
1987-02-13,1.90782
1987-02-17,1.94654
1987-02-18,1.98466
1987-02-19,1.98466
1987-02-20,1.99171
1987-02-23,1.93621
1987-02-24,1.94257
1987-02-25,1.97424
1987-02-26,1.95279
1987-02-27,1.96371
1987-03-02,1.96729
1987-03-03,1.97424
1987-03-04,2.05803
1987-03-05,2.02338
1987-03-06,2.03381
1987-03-09,1.97424
1987-03-10,2.03381
1987-03-11,2.1315
1987-03-12,2.10728
1987-03-13,2.0621
1987-03-16,2.02001
1987-03-17,2.03381
1987-03-18,2.03043
1987-03-19,2.07233
1987-03-20,2.07233
1987-03-23,2.09675
1987-03-24,2.0899
1987-03-25,2.07233
1987-03-26,2.05178
1987-03-27,2.00948
1987-03-30,1.93621
1987-03-31,2.00243
1987-04-01,2.00243
1987-04-02,1.94654
1987-04-03,2.02338
1987-04-06,2.03381
1987-04-07,1.98129
1987-04-08,2.00243
1987-04-09,2.00243
1987-04-10,2.01286
1987-04-13,1.97424
1987-04-14,1.86582
1987-04-15,1.93621
1987-04-16,1.91477
1987-04-20,1.93214
1987-04-21,1.99528
1987-04-22,1.89739
1987-04-23,1.88677
1987-04-24,1.83733
1987-04-27,1.84825
1987-04-28,1.827
1987-04-29,1.81667
1987-04-30,1.86582
1987-05-01,1.83435
1987-05-04,1.84825
1987-05-05,1.90424
1987-05-06,1.83733
1987-05-07,1.7991
1987-05-08,1.80972
1987-05-11,1.7991
1987-05-12,1.7713
1987-05-13,1.7713
1987-05-14,1.76773
1987-05-15,1.73963
1987-05-18,1.73963
1987-05-19,1.72921
1987-05-20,1.70796
1987-05-21,1.69436
1987-05-22,1.74668
1987-05-26,1.827
1987-05-27,1.80635
1987-05-28,1.83733
1987-05-29,1.87624
1987-06-01,1.88359
1987-06-02,1.86949
1987-06-03,1.89392
1987-06-04,1.87624
1987-06-05,1.86582
1987-06-08,1.90424
1987-06-09,1.91477
1987-06-10,1.91477
1987-06-11,1.94257
1987-06-12,1.94654
1987-06-15,1.93621
1987-06-16,1.94654
1987-06-17,1.94257
1987-06-18,1.95279
1987-06-19,1.98466
1987-06-22,2.02001
1987-06-23,2.01286
1987-06-24,2.00243
